Designator,Mid X,Mid Y,Rotation,Layer
D1,132.6515,-86.995,0.0,top
D10,175.5435,-144.145,0.0,top
D11,169.7015,-163.195,0.0,top
D12,389.9875,-86.995,0.0,top
D13,170.7855,-86.995,0.0,top
D14,180.4375,-106.045,0.0,top
D15,185.0095,-125.095,0.0,top
D16,194.5935,-144.145,0.0,top
D17,182.6555,-163.195,0.0,top
D18,113.5675,-144.145,0.0,top
D19,189.7675,-86.995,0.0,top
D2,137.4435,-106.045,0.0,top
D20,199.4195,-106.045,0.0,top
D21,203.9915,-125.095,0.0,top
D22,213.6435,-144.145,0.0,top
D23,387.6335,-125.095,0.0,top
D24,394.7455,-106.045,0.0,top
D25,208.8175,-86.995,0.0,top
D26,218.4695,-106.045,0.0,top
D27,223.2955,-125.095,0.0,top
D28,232.6935,-144.145,0.0,top
D29,113.5675,-125.095,0.0,top
D3,139.7295,-125.095,0.0,top
D30,418.3675,-163.195,0.0,top
D31,227.8675,-86.995,0.0,top
D32,237.5195,-106.045,0.0,top
D33,242.0915,-125.095,0.0,top
D34,251.7435,-144.145,0.0,top
D35,254.0295,-163.195,0.0,top
D36,418.3675,-144.145,0.0,top
D37,246.9175,-86.995,0.0,top
D38,256.5695,-106.045,0.0,top
D39,261.3955,-125.095,0.0,top
D4,144.5895,-144.145,0.0,top
D40,270.7935,-144.145,0.0,top
D41,418.3675,-106.045,0.0,top
D42,418.3675,-125.095,0.0,top
D43,265.9675,-86.995,0.0,top
D44,275.6195,-106.045,0.0,top
D45,280.1915,-125.095,0.0,top
D46,289.8435,-144.145,0.0,top
D47,399.3855,-144.145,0.0,top
D48,399.3175,-163.195,0.0,top
D49,285.0175,-86.995,0.0,top
D5,145.8255,-163.195,0.0,top
D50,294.7375,-106.045,0.0,top
D51,299.3095,-125.095,0.0,top
D52,308.9615,-144.145,0.0,top
D53,361.2175,-86.995,0.0,top
D54,370.8695,-106.045,0.0,top
D55,304.1355,-86.995,0.0,top
D56,313.7875,-106.045,0.0,top
D57,318.2915,-125.095,0.0,top
D58,327.9435,-144.145,0.0,top
D59,323.1175,-163.195,0.0,top
D6,113.6355,-163.195,0.0,top
D60,111.0275,-103.251,0.0,top
D61,323.1175,-86.995,0.0,top
D62,332.7695,-106.045,0.0,top
D63,337.5955,-125.095,0.0,top
D64,346.9935,-144.145,0.0,top
D65,342.2355,-163.195,0.0,top
D66,418.4355,-86.995,0.0,top
D67,342.1675,-86.995,0.0,top
D68,351.8195,-106.045,0.0,top
D69,356.6455,-125.095,0.0,top
D7,151.7355,-86.995,0.0,top
D70,373.2235,-144.145,0.0,top
D71,361.2855,-163.195,0.0,top
D72,380.3355,-163.195,0.0,top
D8,161.3875,-106.045,0.0,top
D9,166.2135,-125.095,0.0,top
J1,264.4775,-53.975,0.0,top
J2,279.7175,-81.915,180.0,top
